"","Aac3_IIa","Aac3_IId","Aac6Ib_cr","AadA16","AadA1","AadA1_pm","AadA17","AadA2","AadA24","AadA5","AmpC1","AmpC2","AMPH","Aph3","Arr2","Arr3","CARB_2","Cat_pC221","CatA1","CatA2","CatB3","CatB4","CmlA1","CmlA5","CMY_42","CMY_94","CTX_M_1","CTX_M_15","CTX_M_3","CTX_M_55","CTX_M_14","CTX_M_16","CTX_M_27","CTX_M_65","CTX_M_9","DfrA12","DfrA1","DfrA15","DfrA16","DfrA27","DfrA14","DfrA30","DfrA5","DfrA17","DfrA8","ErmB","FloR","FosA","LAP_2","MefB","MphA","MrdA","NDM_5","OXA_1","OXA_10","QepA","Qnr_S1","QnrS2","QnrB1","QnrB19","QnrB6","RmtB","Sat_2A","SHV_12","StrA","StrB","SulI","SulII","SulIII","TEM_135","TEM_33","TEM_90","TetA","TetB","TetD","TEM_1","GyrA","GyrB","ParC","ParE"
"Arr3",0,0,0.0058139534883721,0.5,0,0,0,0,0,0,0,0.0021141649048626,0.0021141649048626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00313479623824453,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0021141649048626,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.00327868852459012,0,0,0,0,0,0.00518134715025909,0,0,0,0.00277008310249305,0,0.00335570469798663,0
"CARB_2",0,0,0,0,0.0101010101010101,0,0,0.00961538461538458,0,0,0,0.0021141649048626,0.0021141649048626,0,0,0,1,0,0,0,0,0,0.0344827586206896,0,0,0,0,0.00313479623824453,0,0,0,0,0,0,0,0,0,0,1,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0.0021141649048626,0,0,0,0,0.0175438596491229,0,0,0,0,0,0,0,0.00249376558603487,0.00233644859813087,0,0.00229357798165142,0.0333333333333333,0,0,0,0.00518134715025909,0,0,0.0034602076124568,0,0,0,0
"Cat_pC221",0,0,0,0,0.0101010101010101,0,0,0.00961538461538458,0,0,0.00277777777777777,0.0021141649048626,0.0021141649048626,0,0,0,0,1,0,0,0,0,0.0344827586206896,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0.0021141649048626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.00518134715025909,0,0,0,0,0,0,0
"CatA1",0.144827586206897,0.136363636363636,0.136563876651982,0,0.101190476190476,0,0.275229357798165,0.225806451612903,0.0232558139534884,0.109271523178808,0.221917808219178,0.181818181818182,0.181818181818182,0.0112359550561798,0,0,0,0,1,0,0.00980392156862742,0.137931034482759,0.00877192982456143,0,0,0,0,0.184210526315789,0,0,0,0.0568181818181818,0.136986301369863,0,0.00990099009900991,0.251798561151079,0.133802816901408,0,0,0,0.0988372093023255,0,0.0232558139534884,0.103225806451613,0.087378640776699,0.0439560439560439,0,0,0,0,0.227544910179641,0.181818181818182,0,0.208888888888889,0,0.242990654205608,0,0,0,0,0,0,0.139705882352941,0,0.162291169451074,0.178899082568807,0.177710843373494,0.180995475113122,0.00869565217391299,0,0,0,0.0813953488372093,0.288888888888889,0.021978021978022,0.194267515923567,0.221311475409836,0,0.246753246753247,0.30379746835443
"CatA2",0.0123456790123457,0.00714285714285712,0,0,0,0.5,0.0185185185185185,0.0192307692307693,0,0,0.00555555555555554,0.00422832980972521,0.00422832980972521,0,0.5,0,0,0,0,1,0,0.00684931506849318,0,0.5,0,0,0,0.00312500000000004,0,0,0,0,0.0123456790123457,0,0,0.0227272727272727,0,0,0,0,0.0194174757281553,0,0,0,0,0,0,0,0.5,0,0.00617283950617287,0.00422832980972521,0,0.00534759358288772,0.5,0.0425531914893617,0.0172413793103449,0,0,0,0,0,0,0,0.00498753117206985,0.00467289719626163,0.00655737704918036,0.00458715596330272,0,0,0,0,0.0103626943005182,0.00380228136882133,0,0.00692041522491349,0.0055401662049861,0,0.00671140939597314,0.00896860986547088
"CatB3",0,0.114285714285714,0.0988372093023255,0,0.00869565217391299,0,0,0.0083333333333333,0,0.0640000000000001,0.0472222222222223,0.0359408033826638,0.0359408033826638,0,0,0,0,0,0.00980392156862742,0,1,0,0.0222222222222223,0,0,0,0,0.0532915360501567,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0.06640625,0,0,0,0.0227272727272727,0,0,0.0524691358024691,0.0359408033826638,0,0.0913978494623656,0,0,0,0,0,0,0,0,0,0,0.0398009950248757,0.0348837209302325,0.00311526479750779,0.0366132723112128,0.0217391304347826,0,0,0,0.0714285714285714,0.00359712230215825,0,0.0551724137931034,0.0470914127423823,0,0.0570469798657718,0.0762331838565022
"CatB4",0.5,0.262222222222222,0.82183908045977,0,0.0209205020920502,0.00689655172413794,0.0366492146596858,0.033195020746888,0,0.521235521235521,0.315104166666667,0.306553911205074,0.306553911205074,0.0067567567567568,0.00689655172413794,0,0,0,0.137931034482759,0.00684931506849318,0,1,0,0.00689655172413794,0,0.294520547945206,0,0.45,0,0,0,0,0.0135135135135135,0,0,0.0309734513274337,0.00456621004566204,0.00689655172413794,0,0,0.0247933884297521,0,0,0.513207547169811,0.062111801242236,0,0.0342465753424658,0,0.00689655172413794,0,0.4,0.306553911205074,0,0.770053475935829,0.00689655172413794,0.0158730158730158,0.00497512437810943,0,0,0,0,0,0,0,0.341523341523342,0.311212814645309,0.442307692307692,0.317460317460317,0,0,0,0,0.104575163398693,0.398625429553265,0,0.307228915662651,0.39010989010989,0,0.471760797342193,0.489878542510122
"CmlA1",0,0.00598802395209586,0.005,0,0.28,0,0.0123456790123457,0.278846153846154,0,0.0145985401459854,0.0775623268698061,0.0613107822410148,0.0613107822410148,0,0,0,0.0344827586206896,0.0344827586206896,0.00877192982456143,0,0.0222222222222223,0,1,0,0,0,0,0.0057803468208093,0.387096774193548,0,0.4375,0,0.0092592592592593,0.0344827586206896,0,0.135922330097087,0.00970873786407767,0,0.0344827586206896,0,0.0393700787401575,0,0,0.0142348754448398,0,0,0,0.9,0,0.0344827586206896,0.00857142857142856,0.0613107822410148,0,0.00467289719626163,0,0.0133333333333333,0.0117647058823529,0.0344827586206896,0,0,0,0.0344827586206896,0,0.0185185185185185,0.0411622276029056,0.045766590389016,0.0470219435736677,0.0242290748898678,0.966666666666667,0.0344827586206896,0,0,0.099009900990099,0.00692041522491349,0,0.0159744408945687,0.0103626943005182,0.0333333333333333,0.0092592592592593,0.0120481927710844
"CmlA5",0.0125,0,0,0,0,1,0,0.00961538461538458,0,0,0.00277777777777777,0.0021141649048626,0.0021141649048626,0,1,0,0,0,0,0.5,0,0.00689655172413794,0,1,0,0,0,0.00313479623824453,0,0,0,0,0,0,0,0.0113636363636364,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,1,0,0.00308641975308643,0.0021141649048626,0,0.0053763440860215,1,0.0212765957446809,0.0175438596491229,0,0,0,0,0,0,0,0.00249376558603487,0.00233644859813087,0.00327868852459012,0.00229357798165142,0,0,0,0,0.00518134715025909,0,0,0.0034602076124568,0.00277008310249305,0,0.00335570469798663,0.00448430493273544
"CMY_42",0,0.0071942446043165,0.0058139534883721,0,0,0,0,0,0,0.00401606425702816,0.00277777777777777,0.0021141649048626,0.0021141649048626,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0.00308641975308643,0.0021141649048626,1,0,0,0,0,0,0,0,0,0,0,0,0.00249376558603487,0.00233644859813087,0,0.00229357798165142,0,0,0,0,0,0.00381679389312972,0,0.0034602076124568,0.00277008310249305,0,0.00335570469798663,0.00448430493273544
