"","Aac3_IIa","Aac3_IId","Aac6Ib_cr","AadA16","AadA1","AadA1_pm","AadA17","AadA2","AadA24","AadA5","AmpC1","AmpC2","AMPH","Aph3","Arr2","Arr3","CARB_2","Cat_pC221","CatA1","CatA2","CatB3","CatB4","CmlA1","CmlA5","CMY_42","CMY_94","CTX_M_1","CTX_M_15","CTX_M_3","CTX_M_55","CTX_M_14","CTX_M_16","CTX_M_27","CTX_M_65","CTX_M_9","DfrA12","DfrA1","DfrA15","DfrA16","DfrA27","DfrA14","DfrA30","DfrA5","DfrA17","DfrA8","ErmB","FloR","FosA","LAP_2","MefB","MphA","MrdA","NDM_5","OXA_1","OXA_10","QepA","Qnr_S1","QnrS2","QnrB1","QnrB19","QnrB6","RmtB","Sat_2A","SHV_12","StrA","StrB","SulI","SulII","SulIII","TEM_135","TEM_33","TEM_90","TetA","TetB","TetD","TEM_1","GyrA","GyrB","ParC","ParE"
"SHV_12",0.0127936194350081,0.00018590563503018,7.72436429286114e-06,1,1,1,0.099783011512981,0.0250286774605775,1,0.0140831013063219,0.812872997345291,1,1,1,1,1,1,1,0.00744788435313127,1,0.61444027463302,8.848885225396e-05,1,1,1,0.155812494497374,1,4.5845155109903e-14,0.551985455466884,1,0.61444027463302,1,0.100978592833961,0.0549682875264274,1,0.0647288241979373,1,1,1,1,1.13228537093813e-07,1,1,0.0242325196386425,1,1,1,1,1,0.0549682875264274,0.393032255614621,1,1,2.89897933673535e-06,1,0.0951812555573874,0.346283273894752,1,1,1,1,0.0549682875264274,0.781455907427634,NA,4.15955587183605e-13,0.295831366293822,0.20905793980981,0.136044837006289,1,1,1,1,0.00158778929749668,0.000369002988797476,1,4.23520998404024e-05,0.475498808880603,0.107025119145734,2.23406626913162e-09,1.66650555469658e-06
"StrA",0.00345065131416887,0.00120036790550536,4.53276887829837e-07,0.281542265381448,0.15557056161934,1,0.420063289955161,0.0640702028049231,0.281542265381448,0.00301718709722188,0.371469169081378,1,1,1,1,0.152219873150105,1,0.152219873150105,0.133748938953178,1,0.489909219826601,1.59408300530479e-06,0.000389872964202103,1,1,0.000696932430287178,1,0.000344704679941443,0.45675202121581,1,2.98802663288561e-05,0.601600229062901,0.0157087581675242,0.152219873150105,0.147660386929888,1,0.484854515538667,1,1,0.281542265381448,3.16714961859959e-11,0.152219873150105,0.281542265381448,0.00121192029585628,0.15462650553709,0.632109987830893,0.597288543230249,4.82509274367665e-05,1,0.152219873150105,0.000163335333193326,1,1,1.14547960894987e-05,1,0.281937479501482,0.235817655855824,1,1,1,0.281542265381448,0.152219873150105,0.144901263800787,4.15955587183605e-13,NA,1.20849413640964e-19,0.0318450530920068,1.70632943290887e-15,0.000570355866745134,1,1,1,0.00884247661946468,0.156506869363971,1,0.0483311640315208,0.0040735011017587,0.0228974809187659,8.53334490572733e-06,0.00011141671611539
"StrB",0.40166860718366,0.170485933163286,0.192639578637452,0.181406098828249,0.0845570287248078,1,1,0.131063570445479,1,0.00740701657710076,0.586076800812835,1,1,1,1,0.0951374207188165,1,0.0951374207188165,1,1,0.670989747753229,0.126086310312203,0.000678790864184092,1,1,0.413933024745627,1,0.180224062936997,0.380946474727454,1,3.98112021299342e-06,1,0.00285241496315378,1,0.0122843169610862,0.22719231245871,0.518826893121944,1,1,0.181406098828249,0.00189397413267927,0.0951374207188165,1,0.00428236950022885,0.00722539618315925,0.596611155390111,1,0.000504054996803077,1,1,3.55872431691121e-05,1,1,0.0779533671273318,1,1,0.809188115305082,1,1,1,0.181406098828249,1,0.0446476958375279,0.295831366293822,1.20849413640964e-19,NA,0.000494782408328935,3.02263882651868e-22,0.000900527756381882,1,1,1,0.202313396188649,5.72660663254116e-05,0.505653609667928,0.00946377445011649,0.00136730694884312,0.181406098828251,0.0224378537819382,0.00439269000781125
"SulI",1.63099789172967e-07,0.00109198633805459,6.05420097000285e-13,0.540975382520512,3.26261089812662e-09,1,1.91521582028842e-11,2.97427901857369e-08,0.12566739527717,1.09331811742096e-30,0.0720242592428456,1,1,0.617999949719742,1,1,0.355179704016912,0.355179704016912,0.454951259650496,0.540975382520512,4.63168704608308e-07,4.79018759908274e-24,0.161660936333204,1,0.355179704016912,6.01935236986712e-08,0.12566739527717,0.183445536789852,0.0235492751412723,0.355179704016912,7.79804478956725e-05,0.000656911358671385,4.5677252900517e-12,1,2.00330510168626e-05,1.39024498641397e-19,1.26618211428538e-08,1,0.355179704016912,0.540975382520512,4.46394983842607e-15,0.355179704016912,0.12566739527717,6.95535512562735e-28,0.0570052022561186,0.168195838214834,0.429611368620605,0.106723536781147,1,1,1.5163545749106e-48,1,0.355179704016912,2.63750781498162e-07,1,1.0428991882928e-08,9.57749389826929e-24,1,0.12566739527717,0.12566739527717,0.540975382520512,1,5.77642898257225e-08,0.20905793980981,0.0318450530920068,0.000494782408328935,NA,0.591805305554078,0.113543022855758,0.355179704016913,0.355179704016913,0.125667395277171,0.284259519212519,1.96690353982947e-15,0.252130169415679,0.843904787231256,3.55305123498475e-28,1,1.69197622795994e-20,9.75199401386922e-12
"SulII",0.172209004861837,0.036877470005517,0.0211123035678175,0.1504819579317,1.76479317434481e-05,1,1,2.59890927738144e-07,1,0.000453001296275694,0.317767162223156,1,1,1,1,0.0782241014799161,1,0.0782241014799161,1,1,1,0.024290186302339,2.46965864008659e-15,1,1,0.0375689731916889,0.1504819579317,3.20024237276716e-05,6.22251529904736e-08,1,6.38148542434533e-07,1,0.0112893186692464,1,0.62634011693149,0.0134881799700229,0.0180115355663723,1,1,0.1504819579317,0.0014752560942559,1,1,0.00021464340513328,0.249270541376557,1,1,9.76158490667358e-16,1,1,9.19526613023525e-07,1,1,0.00253790283292113,1,1,0.291633593741188,0.0782241014799161,1,1,0.1504819579317,1,0.00318491026777583,0.136044837006289,1.70632943290887e-15,3.02263882651868e-22,0.591805305554078,NA,1.66431745492986e-16,1,1,1,0.383915281197201,0.000429518731053459,1,1.18369580399529e-08,6.24470664430311e-06,1,0.000124617583617274,0.00026811705648576
"SulIII",0.0047751330927702,0.000591995417892411,1.88368568958285e-05,1,1.27771690311533e-20,1,0.232170709977894,6.7205712883744e-20,1,5.63330045797741e-06,0.00347975560226386,1,1,1,1,1,0.0634249471458769,0.0634249471458769,0.0265222587603386,1,1,1.62379046171269e-05,1.7107443890552e-45,1,1,0.0974544630442196,0.122953022539149,8.58001321214715e-13,3.21521682216494e-14,1,3.37813360480838e-16,1,0.0421701292305969,0.0634249471458769,0.613771350686925,0.00025352929784781,0.200152531836367,1,0.0634249471458769,1,0.648370057726752,1,1,4.05678551106223e-06,0.396400699745751,1,1,1.57420275126308e-39,1,0.0634249471458769,7.98470788680659e-12,1,1,7.01724319379248e-06,1,0.343163227649822,0.156407512658263,0.0634249471458769,1,1,1,0.0634249471458769,0.0135815349134977,1,0.000570355866745134,0.000900527756381882,0.113543022855758,1.66431745492986e-16,NA,0.0634249471458774,1,1,0.000978649850839779,1.22575621386228e-07,1,5.4542150560424e-07,1.21246295919629e-12,0.122953022539148,7.17275520069802e-10,1.35927182927033e-05
"TEM_135",1,1,1,1,0.209302325581395,1,1,0.219873150105708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0613107822410148,1,1,1,1,0.325581395348837,1,1,0.0359408033826638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0591966173361522,1,1,0.315010570824524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.355179704016913,1,0.0634249471458774,NA,1,1,1,0.446088794926001,1,0.389006342494716,0.236786469344608,1,0.369978858350954,1
"TEM_33",1,1,1,1,1,1,1,1,1,0.473572938689218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.217758985200846,1,1,0.45877378435518,1,1,1,1,1,1,0.315010570824524,1,1,1,1,1,0.120507399577167,1,1,1,1,1,1,1,1,1,0.355179704016913,1,1,1,NA,1,0.408033826638477,0.446088794926001,1,0.389006342494716,1,1,1,0.471458773784355
"TEM_90",1,0.0859193034005806,0.536209553158706,1,1,1,1,1,1,0.223743146880711,0.056688286093095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0470580857849285,1,1,0.209947325043896,1,1,1,1,1,1,0.0987745010212492,1,1,0.521786648511126,1,1,1,1,8.95832586806179e-06,1,1,1,1,1,1,1,0.125667395277171,1,1,1,1,NA,0.515892070089942,0.198471709606909,1,0.150822374314688,0.0556849535958716,1,0.136390511341241,0.500573332855556
"TetA",0.00863092901148538,7.61824727053023e-07,7.01208009919456e-06,0.165979861683448,0.0111594548790331,0.408033826638477,9.66848264375311e-05,0.000655784043098019,0.515892070089942,0.30407492576996,6.09124028532256e-06,1,1,0.648560867469549,0.408033826638477,0.408033826638477,0.408033826638477,0.408033826638477,0.000634961314657266,0.165979861683448,0.000575060970161421,1.99958566647645e-08,0.00278034611375066,0.408033826638477,1,2.81155644691585e-11,0.165979861683448,7.60004378670705e-10,0.00474876425840046,1,0.323164736975529,0.0449464032337097,2.06655064726973e-29,1,0.0003189070512899,0.00547558810012584,6.80101938702415e-09,0.408033826638477,0.408033826638477,0.165979861683448,0.652326056007002,0.408033826638477,1,0.347879595518038,1.82719688974792e-05,0.496431275406114,0.0437666777907443,0.0158640251470907,0.408033826638477,1,0.919901602040951,1,1,7.73234726691447e-09,0.408033826638477,3.12455639161568e-08,0.0309933294555395,0.408033826638477,0.515892070089942,1,0.165979861683448,1,3.68605430748335e-09,0.00158778929749668,0.00884247661946468,0.202313396188649,0.284259519212519,0.383915281197201,0.000978649850839779,1,0.408033826638477,0.515892070089942,NA,3.02943053317883e-28,0.705836172219393,3.47995329333243e-05,0.0276590364784186,0.515892070089941,0.174947735377304,0.000378759341919066
